#   wl        direct       diffuse (W/m^2/mic)
1.0150   435.3882141    51.4966850
1.0175   434.0914917    51.1056824
1.0200   429.2316284    50.3005943
1.0225   428.8401794    50.0152092
1.0250   427.7666016    49.6531181
1.0275   423.2181702    48.9099579
1.0300   423.8365784    48.7676773
1.0325   421.9606628    48.3324242
1.0350   419.6642761    47.8529968
1.0375   417.2443542    47.3720245
1.0400   414.7563171    46.8873825
1.0425   412.6628418    46.4432030
1.0450   410.5016479    45.9953194
1.0475   408.2949829    45.5461884
1.0500   405.4666443    45.0318260
1.0525   403.4927979    44.6164131
1.0550   401.2644348    44.1764946
1.0575   398.8493958    43.7122002
1.0600   396.4367371    43.2523117
1.0625   393.9710999    42.7979889
1.0650   391.4557495    42.3421402
1.0675   388.9019775    41.8787270
1.0700   386.1333008    41.3962631
1.0725   382.0307312    40.7826385
1.0750   373.5402527    39.7077370
1.0775   366.6565552    38.7984009
1.0800   364.4243469    38.3870888
1.0825   381.2543640    39.9850883
1.0850   368.4503174    38.4747620
1.0875   363.4051208    37.7906342
1.0900   344.4217834    35.6686172
1.0925   322.8677979    33.2931480
1.0950   331.3219299    34.0189972
1.0975   364.2500916    37.2407837
1.1000   341.5125427    34.7680855
1.1025   336.4508972    34.1139984
1.1050   314.7713928    31.7870483
1.1075   261.8782654    26.3393440
1.1100   246.9866028    24.7420788
1.1125   177.4307251    17.7033768
1.1150   150.4109802    14.9477930
1.1175   155.0219879    15.3397112
1.1200   101.3209152     9.9828987
1.1225    64.9723129     6.3753066
1.1250    61.1379776     5.9745464
1.1275    81.8444290     7.9654632
1.1300   194.8430634    18.8860664
1.1325   234.8213654    22.6691513
1.1350     8.0582438     0.7747944
1.1375   218.8550568    20.9618988
1.1400   195.0780640    18.6130619
1.1425   209.1017609    19.8716621
1.1450    66.1662598     6.2630548
1.1475   113.5915070    10.7114878
1.1500   107.0489120    10.0564785
1.1525   118.6105881    11.1027012
1.1550   182.3698273    17.0100822
1.1575   178.1892853    16.5610733
1.1600   193.7940826    17.9476128
1.1625   208.5420990    19.2453766
1.1650   248.7299042    22.8735085
1.1675   274.3197327    25.1384792
1.1700   283.2121277    25.8629036
1.1725   249.6822510    22.7257614
