#   wl        direct       diffuse (W/m^2/mic)
1.2200   274.5621948    17.6275578
1.2225   274.0498352    17.5368652
1.2250   272.8313293    17.4018040
1.2275   272.3263245    17.3100986
1.2300   272.2190857    17.2442112
1.2325   270.1247253    17.0563717
1.2350   268.9626160    16.9283962
1.2375   265.8791809    16.6808281
1.2400   265.3387146    16.5938416
1.2425   264.3487854    16.4738808
1.2450   262.4698181    16.2995491
1.2475   260.0188904    16.0910740
1.2500   258.5454102    15.9443493
1.2525   256.0761108    15.7401829
1.2550   253.2688141    15.5167351
1.2575   251.0220490    15.3289757
1.2600   245.1302490    14.9206142
1.2625   239.3360901    14.5158882
1.2650   233.0004272    14.0813684
1.2675   210.7415314    12.6931725
1.2700   223.8072815    13.4348488
1.2725   234.2580109    14.0103693
1.2750   234.6288452    13.9810295
1.2775   235.6194458    13.9887018
1.2800   233.0159912    13.7836971
1.2825   233.3747101    13.7594824
1.2850   230.0957031    13.5216961
1.2875   226.9534760    13.2889910
1.2900   222.0972748    12.9579458
1.2925   222.0707855    12.9078493
1.2950   218.9158630    12.6770029
1.2975   212.8146973    12.2778349
1.3000   214.0795898    12.3050432
1.3025   197.8276062    11.3173637
1.3050   201.2704926    11.4602671
1.3075   206.0299683    11.6783009
1.3100   183.4010162    10.3488503
1.3125   177.5384674     9.9696856
1.3150   179.9984589    10.0591373
1.3175   192.8069458    10.7305412
1.3200   161.2872162     8.9394569
1.3225   174.0520020     9.5992193
1.3250   194.5872345    10.6788092
1.3275   172.1010284     9.4047546
1.3300   120.8226089     6.5746317
1.3325   129.4151611     7.0065179
1.3350   146.6993713     7.9021087
1.3375   166.1677551     8.9056158
1.3400   134.0945282     7.1504946
1.3425    88.3851318     4.6958904
1.3450    69.1382065     3.6599362
1.3475    49.5114975     2.6069717
1.3500    20.3043213     1.0634027
1.3525     7.1229720     0.3714555
1.3550     3.0513766     0.1584456
1.3575     0.6387969     0.0330346
1.3600     2.1695065     0.1117358
1.3625     0.8800908     0.0451431
1.3650     0.1491164     0.0076177
1.3675     2.0426402     0.1038750
1.3700     0.7533577     0.0381366
1.3725     4.4032669     0.2219312
1.3750    14.6451759     0.7349302
1.3775     7.1466036     0.3572037
1.3800     0.5976073     0.0297511
1.3825     0.1201805     0.0059583
1.3850     6.1362920     0.3029695
1.3875     1.8532621     0.0911732
1.3900    16.8576088     0.8263581
1.3925     0.8274059     0.0404288
1.3950     0.1276608     0.0062178
1.3975    62.2624550     3.0212641
1.4000     9.1842299     0.4440105
1.4025     1.0578513     0.0509532
1.4050     2.1136739     0.1014339
1.4075     5.8936753     0.2817978
1.4100     3.5097275     0.1671993
1.4125     9.1669226     0.4349611
1.4150    31.2569523     1.4772145
1.4175    30.3694782     1.4310820
1.4200     8.8058310     0.4137444
1.4225    10.9392366     0.5124048
1.4250    33.3537178     1.5575448
1.4275    22.7167435     1.0574007
1.4300    40.0367355     1.8576248
1.4325    19.3259563     0.8942878
1.4350    44.1430283     2.0372224
1.4375    26.5129986     1.2209766
1.4400    28.5040112     1.3098849
1.4425    23.1856804     1.0632298
1.4450    66.1761551     3.0282757
1.4475    98.0143585     4.4758301
1.4500    16.7823868     0.7647736
1.4525    78.9155502     3.5911992
1.4550    65.3464127     2.9696155
1.4575   113.9454727     5.1710825
1.4600    69.9659042     3.1708856
1.4625    79.8775864     3.6164222
1.4650    64.8464737     2.9329572
1.4675    59.5299492     2.6893482
1.4700    71.3256607     3.2184877
1.4725    25.5836964     1.1533033
1.4750    54.9114075     2.4729574
1.4775    90.9007492     4.0918484
1.4800    66.7012100     3.0011344
1.4825    75.5185165     3.3951614
1.4850   105.8047638     4.7530227
1.4875    87.7016296     3.9347365
1.4900   104.5260010     4.6835856
1.4925   107.3782730     4.8076940
1.4950   121.3635712     5.4296980
1.4975   147.3910065     6.5880737
1.5000   161.5340424     7.2136221
1.5025   143.9829712     6.4239769
1.5050   150.0329590     6.6878242
1.5075   160.3191681     7.1410961
1.5100   169.4028625     7.5402012
1.5125   159.2612915     7.0836530
1.5150   151.5813293     6.7372131
1.5175   154.6608582     6.8691864
1.5200   160.3654785     7.1174803
1.5225   166.3913422     7.3785610
1.5250   157.4614868     6.9765415
1.5275   159.2562103     7.0500393
1.5300   159.6914825     7.0633068
1.5325   163.9808960     7.2480779
1.5350   159.6843567     7.0533838
1.5375   161.7566528     7.1324511
1.5400   160.7007141     7.0692477
1.5425   160.3108368     7.0356002
1.5450   160.6535187     7.0341849
1.5475   160.7936859     7.0239511
1.5500   161.1949005     7.0251193
1.5525   159.7040558     6.9418650
1.5550   159.6823730     6.9227171
1.5575   159.1519928     6.8816924
1.5600   158.5509796     6.8378367
1.5625   157.4253387     6.7737904
1.5650   156.9478912     6.7378702
1.5675   153.0843201     6.5550170
1.5700   143.2509308     6.1181636
1.5725   141.4984436     6.0287061
1.5750   148.4880676     6.3113031
1.5775   142.3110504     6.0314469
1.5800   146.4943237     6.1909885
1.5825   149.7821808     6.3148680
1.5850   150.8730469     6.3457351
1.5875   151.3571625     6.3480387
1.5900   150.3677216     6.2887530
1.5925   150.0668030     6.2594609
1.5950   149.5012360     6.2192926
1.5975   146.2221527     6.0677261
1.6000   145.6457062     6.0287857
1.6025   136.2304688     5.6233630
1.6050   137.1685638     5.6463609
1.6075   141.4740601     5.8065753
1.6100   134.4255371     5.5012021
1.6125   137.7729034     5.6226826
1.6150   141.5427399     5.7606926
1.6175   142.5005646     5.7829351
1.6200   142.7120209     5.7748384
1.6225   142.3320923     5.7438102
1.6250   141.4936829     5.6944947
1.6275   140.8066559     5.6515179
1.6300   139.9866943     5.6034660
1.6325   138.6640778     5.5347662
1.6350   137.9055634     5.4889379
1.6375   136.4063416     5.4147487
1.6400   134.4216461     5.3217611
1.6425   133.3088074     5.2613125
1.6450   132.2660217     5.2039766
1.6475   131.3827820     5.1540389
1.6500   130.7650604     5.1147847
1.6525   130.3884583     5.0851512
1.6550   130.9394836     5.0917778
1.6575   131.6857147     5.1059322
1.6600   132.2220001     5.1118631
1.6625   131.1240540     5.0547762
1.6650   120.4927063     4.6315675
1.6675   127.7647247     4.8970098
1.6700   129.5511780     4.9512758
1.6725   128.0384521     4.8765860
1.6750   127.3978424     4.8355007
1.6775   125.6632462     4.7554216
1.6800   126.9709167     4.7905965
1.6825   125.6348190     4.7254233
1.6850   123.1462402     4.6174488
1.6875   123.8329849     4.6294909
1.6900   119.6511002     4.4600010
1.6925   122.3109512     4.5450978
1.6950   117.8489456     4.3658285
1.6975   117.4675827     4.3383746
1.7000   120.9034576     4.4516473
1.7025   117.4268112     4.3104677
1.7050   119.0981979     4.3585467
1.7075   110.6985397     4.0394812
1.7100   118.5899353     4.3150210
1.7125   112.0166473     4.0635710
1.7150   111.4487000     4.0308204
1.7175   114.6785278     4.1358232
1.7200   117.5568695     4.2276139
1.7225   102.5982513     3.6786878
1.7250   105.4930573     3.7712455
1.7275   110.1177368     3.9255095
1.7300   109.5463943     3.8941946
1.7325   100.1853943     3.5514727
1.7350   108.9046555     3.8497779
1.7375   100.8361740     3.5546575
1.7400    95.2528381     3.3485262
1.7425   103.4519501     3.6272581
1.7450   102.8913269     3.5981822
1.7475    85.9492493     2.9970169
1.7500   108.8985214     3.7863007
1.7525    96.8290405     3.3574498
1.7550    79.5760040     2.7517185
1.7575   108.1487579     3.7296071
1.7600   107.5478592     3.6988652
1.7625    84.7409744     2.9061863
1.7650    68.5837936     2.3454154
1.7675    90.4685287     3.0855393
1.7700    87.4089508     2.9732213
1.7725    86.9036560     2.9481511
1.7750    74.1027374     2.5072186
1.7775    58.9384499     1.9885756
1.7800    67.5993195     2.2744534
1.7825    67.1988831     2.2547114
1.7850    49.7134094     1.6634074
1.7875    53.6301079     1.7892572
1.7900    61.6466293     2.0507627
1.7925    35.4467697     1.1757884
1.7950    35.2301064     1.1652416
1.7975    47.7131004     1.5740428
1.8000    17.3857613     0.5720773
1.8025    26.8179970     0.8801798
1.8050    26.8482189     0.8789214
1.8075    13.6082535     0.4442883
1.8100    16.2193871     0.5281191
1.8125    14.0191870     0.4551923
1.8150     6.5974464     0.2136124
1.8175     6.5649056     0.2119645
1.8200     1.5139937     0.0487466
1.8225     8.0251837     0.2577073
1.8250     1.6481897     0.0527877
1.8275     1.6397834     0.0523658
1.8300     0.2046904     0.0065177
1.8325     9.7795200     0.3106319
1.8350     0.0220330     0.0006981
1.8375     0.0219182     0.0006920
1.8400     0.7169861     0.0225558
1.8425     1.3525766     0.0423996
1.8450     1.3454963     0.0420279
1.8475     0.0497165     0.0015459
1.8500     1.1286235     0.0349353
1.8525     0.9166282     0.0282171
1.8550     0.9117209     0.0279118
1.8575     1.6924262     0.0513153
1.8600     0.2371755     0.0071220
1.8625     1.4698124     0.0438176
1.8650     1.4617608     0.0432630
1.8675     0.0825792     0.0024289
1.8700     0.0238393     0.0006968
1.8725     0.0237048     0.0006894
1.8750     0.0155833     0.0004509
1.8775     0.8337607     0.0240423
1.8800     9.6141529     0.2762842
1.8825     9.5592670     0.2738072
1.8850     3.5144823     0.1003378
1.8875     1.7187678     0.0488893
